,degree_type,,,,
4 year MEng,3,,,,
4th European level,2,,,,
4-year Course,2,,,,
5 year College degree (BSc),2,,,,
5 Year Degree,2,,,,
5 year degree ( Master ),3,,,,
5 year diploma,2,,,,
5 year dual major Bachelor Degre,2,,,,
5 year Integrated B.Tech/M.Tech,3,,,,
5 year Master's Degree,3,,,,
5 years,2,,,,
5 years degree,2,,,,
5 years Faculty,0,,,,
5 years university degree,2,,,,
5-7 Grade,0,,,,
5-year degree,2,,,,
5-years Diploma,2,,,,
60 HE,0,,,,
6th Year Professional,2,,,,
8-12 Grade,0,,,,
8th Degree,0,,,,
a bachelorÂ´s degree,2,,,,
A Level,2,,,,
A Levels,2,,,,
A levels,2,,,,
'A' Levels,2,,,,
 MBA,3,,,,
A. B. summa cum laude,2,,,,
A.A. & A.S.,1,,,,
A.A. in Accounting and a B.S. in,1,,,,
"A.A., General Ed.",1,,,,
A.A.S. Photography Technology,1,,,,
A.B,2,,,,
A.B.,2,,,,
A.B. (Honors),2,,,,
A.B. and M.D.,4,,,,
A.B. cum laude,2,,,,
A.B. degree,2,,,,
A.B. honors,2,,,,
A.B. Honors,2,,,,
A.B. Magna Cum Laude,2,,,,
A.B. magna cum laude,2,,,,
A.B. or Bachelor of arts,2,,,,
"A.B., & B.E",2,,,,
"A.B., Biology",2,,,,
"A.B., Int'l Relations, Economics",2,,,,
"A.B., magna cum laude",2,,,,
"A.B., Magna cum laude, Phi Beta ",2,,,,
"A.B., Politics",2,,,,
A.I.M. Graduate,2,,,,
A.M,3,,,,
A.M.,3,,,,
A.M.L.S,3,,,,
A.M.R.S.,3,,,,
A.S.,1,,,,
Diplomkauffrau degree,1,,,,
A+,1,,,,
A1,1,,,,
AA,1,,,,
AA/BS,2,,,,
AAA,1,,,,
AAB,1,,,,
AABIS,1,,,,
AAS,1,,,,
AAS Degree,1,,,,
AAS-Grad,1,,,,
AAUCT,1,,,,
AB,2,,,,
AB (magna cum laude),2,,,,
AB and BBA,2,,,,
AB cum laude,2,,,,
AB Degree,2,,,,
AB magna cum laude,2,,,,
AB with Honors,2,,,,
AB with Honors and Distinction,2,,,,
"AB, Economics",2,,,,
"AB, Engineering, Economics",2,,,,
"AB, magna cum laude",2,,,,
"AB, Magna Cum Laude",2,,,,
"AB, US History, CS, Psychology",2,,,,
AB/SM,3,,,,
ABA,2,,,,
ABC Diploma,2,,,,
ABD,2,,,,
Abitur,2,,,,
ABJ,1,,,,
Abogado / Attorney,4,,,,
"Abogado, Derecho",4,,,,
AC,2,,,,
ACA,2,,,,
"ACA, Accounting",2,,,,
ACA/FCA,2,,,,
Academic,0,,,,
Academic degree,0,,,,
Academic Degree,0,,,,
academic degree with a major in ,0,,,,
academic honors,0,,,,
Academy Economist,2,,,,
ACCA,2,,,,
Accelerated Development Programm,0,,,,
Accelerator,0,,,,
Account Hons.,0,,,,
Accountancy,0,,,,
Accountant,2,,,,
Accounting,2,,,,
accounting,2,,,,
Accounting & Finance,2,,,,
Accounting and Finance,2,,,,
Accounting Certificate,2,,,,
Accounting degree,2,,,,
Accounting Extension,2,,,,
Accounting/Finance,2,,,,
ACCP,0,,,,
ACE,0,,,,
"achelor in Engineering, Mechanic",2,,,,
ACLA (Auto Claims Law Associate),4,,,,
ACMA,2,,,,
"ACMA, Chartered Management Accou",2,,,,
ACMI,2,,,,
Acountancy,2,,,,
ACSI,2,,,,
Actuaries,2,,,,
Actuary,2,,,,
AD,0,,,,
Ad Design,0,,,,
additiona,0,,,,
additional,0,,,,
ade,0,,,,
ADE Lic&Master,0,,,,
AdeCaP,2,,,,
ADIM,2,,,,
Adjunct Fellow,0,,,,
Administrador,0,,,,
Administrador de empresas,2,,,,
"Administrador de Empresas, Econó",2,,,,
Administration,0,,,,
Administrative Asst,0,,,,
Admission,0,,,,
ADN,2,,,,
ADP 56,2,,,,
ADV Diploma,2,,,,
Advance Diploma in Computer Soft,2,,,,
Advanced Bachelor of Science deg,2,,,,
Advanced Certificate,1,,,,
Advanced Certificate for Executi,1,,,,
Advanced Computer Science,1,,,,
Advanced Degree,1,,,,
Advanced Degrees,1,,,,
advanced degrees,1,,,,
Advanced Diploma,1,,,,
Advanced Diploma in Computer App,2,,,,
Advanced Diploma in Software Eng,2,,,,
Advanced Diploma in Sound,2,,,,
Advanced Executive Education Pro,2,,,,
Advanced Executive Management Pr,2,,,,
Advanced Executive Program,2,,,,
Advanced Graphic Design Diploma,2,,,,
Advanced Industrial Marketing Se,2,,,,
Advanced Management,2,,,,
Advanced Management Certificate,2,,,,
Advanced Management Degree,2,,,,
Advanced Management Program,2,,,,
Advanced Management Programme,2,,,,
Advanced Management Programs,2,,,,
Advanced Master's Degree,3,,,,
Advanced Masters degree in Compu,3,,,,
Advanced Master's Dual Degree,3,,,,
Advanced MBA,4,,,,
Advanced Project Management,2,,,,
Advertising,1,,,,
"Advertising, Marketing and Strat",1,,,,
AEA/Stanford Executive Program,1,,,,
AEC,1,,,,
AEMP,1,,,,
Aeronautical engineering,3,,,,
Aeronautical Engineering,3,,,,
Aerospace,3,,,,
Aerospace Engineering,3,,,,
AFA,2,,,,
"African Studies, Middle Eastern ",2,,,,
AgriBusiness,2,,,,
Agribusiness Leadership Plus,2,,,,
Agriculture and Veterinary Medic,2,,,,
ahuoora@myopera.com,0,,,,
AI,0,,,,
AICWA,0,,,,
Airway Science,0,,,,
AISSCE,0,,,,
AISSE,0,,,,
Akademiøkonom,0,,,,
A-Level,2,,,,
A-Levels,2,,,,
A-levels,2,,,,
ALM,3,,,,
AM,3,,,,
AM and PhD,5,,,,
Ambassador,0,,,,
AMCT,0,,,,
"Amherst, & B.Tech (Honors)",2,,,,
AMIE,3,,,,
AMIE(BE),3,,,,
AMP,3,,,,
AMP 11,3,,,,
AMP/ISMP,3,,,,
AMP/MBA,4,,,,
AMPM,3,,,,
Analyst,2,,,,
Analyst Developer,2,,,,
Analytics,2,,,,
animation,0,,,,
Anthropology,2,,,,
AOS,2,,,,
AP,2,,,,
APC,2,,,,
APC (MS),3,,,,
APMP,3,,,,
"Appleton, Wisconsin, with Bachel",0,,,,
Application Developer,2,,,,
Applied BSc,2,,,,
Applied Economics,2,,,,
Applied License,2,,,,
Applied Mathematics & Economics,2,,,,
Applied Science,2,,,,
Applied Science (Computer Scienc,2,,,,
Apprenticeship at Robotic,2,,,,
Arabic,2,,,,
Architecte DPLG,2,,,,
architecture,2,,,,
Architecture and Planning,2,,,,
Architetto,2,,,,
Arquitecto Superior,2,,,,
Arquitectura,2,,,,
Array Processing,2,,,,
Art,2,,,,
Art & Design,2,,,,
Art and Engineering,2,,,,
Artium Baccalaureus,2,,,,
Arts,2,,,,
Arts and Sciences,2,,,,
Arts degree,2,,,,
Arts Degree,2,,,,
arts degrees,2,,,,
"Arts,",2,,,,
ARU,2,,,,
AS,1,,,,
AS & A Level's,1,,,,
"AS, BS, MBA,",4,,,,
ASc,1,,,,
ASC,1,,,,
"Asistente al programa, Marketing",0,,,,
ASME,1,,,,
Asoociates of Arts,1,,,,
Ass.Dip.App. Science,1,,,,
Asscociates,1,,,,
Assistant Professor,3,,,,
Assistent Programmer,2,,,,
assoc,1,,,,
Associate,1,,,,
Associate Arts,1,,,,
Associate Arts Degree,1,,,,
Associate Degree,1,,,,
Associate degree,1,,,,
associate degree,1,,,,
Associate Degree (4 years study),2,,,,
Associate Engineer,1,,,,
Associate Fellow,1,,,,
Associate in Applied Science,1,,,,
Associate in Applied Science Deg,1,,,,
Associate in Arts,1,,,,
Associate in Science,1,,,,
"Associate in Science Degree, Gra",1,,,,
Associate of  Arts,1,,,,
Associate of Applied Science,1,,,,
Associate of Applied Sciences,1,,,,
Associate of Art,1,,,,
Associate of Arts,1,,,,
Associate of Arts (A.A.,1,,,,
Associate of Arts (A.A.),1,,,,
Associate of Arts (AA),1,,,,
Associate of Arts and Sciences (,1,,,,
Associate of Arts Degree,1,,,,
"Associate of Arts, General",1,,,,
Associate of Irish Taxation Inst,1,,,,
Associate of Marketing,1,,,,
Associate of Science,10,,,,
Associate of Science (A.S.,1,,,,
Associate of Science (A.S.),5,,,,
Associate of Science (AS),3,,,,
Associate Professor,1,,,,
Associates Degree,2,,,,
Associated Degree,1,,,,
Associates,1,,,,
Associate's degre,1,,,,
Associate's degree,1,,,,
"Associates degree & logistics,  ",1,,,,
Associates In Applied Science,1,,,,
Associates in Applied Sciences,1,,,,
Associates in Art,2,,,,
Associates in Arts,1,,,,
Associates in Science,1,,,,
Associates in Specialized Techno,1,,,,
Associates of Applied Science,1,,,,
Associate's of Applied Science,1,,,,
associates of art,1,,,,
Associates of Arts,1,,,,
Associates of Communications,1,,,,
Associates of Science,1,,,,
Associates of Sciences,1,,,,
Associateship,1,,,,
Association of Arts,1,,,,
Assoiates,1,,,,
aster of Business Administration,4,,,,
attended EE,0,,,,
Attorney,4,,,,
Audio Engineering,2,,,,
Audit Controle de Gestion,2,,,,
"Aviation, Business & Administrat",2,,,,
Avionics Engineering,3,,,,
B,2,,,,
B - Level,2,,,,
"B A, P G Diploma in Journalism",2,,,,
B App Sc (Hons),2,,,,
"B App. Sci, LLB",2,,,,
B Arch,2,,,,
B Com (exchange student),2,,,,
B Comm (Hons) / LLB (Hons),1,,,,
B Commerce,1,,,,
B Comp Sci,1,,,,
B Corp Law; LLB,4,,,,
B Ec,2,,,,
B Elec,2,,,,
"B Eng Hons, Mechanical Engineeri",2,,,,
B Math,2,,,,
B of A,2,,,,
B of Eng,2,,,,
B Pharm,2,,,,
"B Pharmacy, (Hons)",2,,,,
B Sc (MA Sc),3,,,,
B Sc Economics,2,,,,
"B Sc, PCM",3,,,,
"B Sc. (Econ), Economics, Account",2,,,,
B Sci,2,,,,
B Science,2,,,,
B Tech,2,,,,
"B Tech, EE and CS",2,,,,
"B, E. Computer & Science Enginee",2,,,,
B.,2,,,,
B. Admin,2,,,,
B. Arch,2,,,,
B. Arch.,2,,,,
B. Bible,2,,,,
B. Business,2,,,,
B. ChE.,2,,,,
B. Commerce,2,,,,
B. Comp. Sc,2,,,,
B. Des,2,,,,
B. Design,2,,,,
B. Econ,2,,,,
B. Econ.,2,,,,
B. Eng,2,,,,
"B. Eng, Electrical Engineering",2,,,,
B. Eng. & Mgt.,2,,,,
B. Eng. 2(ii),2,,,,
B. Engg,2,,,,
B. Engg.,2,,,,
B. Engineering,2,,,,
B. Engrg,2,,,,
B. Math,2,,,,
B. Math (Hon.),2,,,,
B. Math (Honors),2,,,,
B. of Fine Arts,2,,,,
B. Proc,2,,,,
B. Sc. in Engr,2,,,,
B. Sc.with Honors,2,,,,
B. Sci,2,,,,
B. Tech & M. Tech,3,,,,
B. Tech (Hons),2,,,,
B.A,2,,,,
B.A & P.A,2,,,,
B.A (with Honors),2,,,,
B.A and M.B.A.,4,,,,
B.A Business Economics,2,,,,
B.A Criminal Justice,2,,,,
B.A MARKETING,2,,,,
B.A Psychology,2,,,,
B.A.,2,,,,
B.A. - High Honors,2,,,,
B.A. - Phi Beta Kappa,2,,,,
B.A. & B.Mus.,2,,,,
B.A. & M.A.,3,,,,
B.A. (Cum Laude),2,,,,
B.A. (Honors),2,,,,
B.A. (Hons) - First Class,2,,,,
"B.A. (Hons.), English",2,,,,
B.A. (incomplete),0,,,,
"B.A. (Mod), Economics",2,,,,
B.A. (Mod.),2,,,,
B.A. (Mod.) Comp. Sci.,2,,,,
B.A. (Phi Beta Kappa),2,,,,
B.A. (summa cum laude),2,,,,
B.A. (Summa Cum Laude),2,,,,
"B.A. (summa cum laude, Phi Beta ",2,,,,
"B.A. , Graduate Cum Laude",2,,,,
"B.A. , Summa Cum Laude",2,,,,
B.A. / A.A.,2,,,,
"B.A. / B.S., Finance / Molecular",2,,,,
B.A. / M.A.,3,,,,
B.A. Accounting,2,,,,
B.A. and an M.S.,3,,,,
B.A. and Certificate,2,,,,
B.A. and J.D,4,,,,
B.A. and J.D. degrees,4,,,,
B.A. and M.A,3,,,,
B.A. and M.A.,3,,,,
B.A. and M.D,4,,,,
B.A. and M.D.,4,,,,
B.A. and Ph.D.,5,,,,
B.A. Arts,2,,,,
B.A. Business,2,,,,
B.A. Business Administration,2,,,,
"B.A. Business Administration, Ma",2,,,,
B.A. cum laude,2,,,,
B.A. Cum Laude,2,,,,
B.A. degree,2,,,,
B.A. degree and an M.A. degree,3,,,,
B.A. Double Major,2,,,,
B.A. Eauivilant,2,,,,
B.A. Equivilant,2,,,,
B.A. Honours,2,,,,
"B.A. Honours, first class averag",2,,,,
B.A. Hons (Distinction) & M.A.,2,,,,
B.A. Humanities,2,,,,
B.A. in economics,2,,,,
B.A. in Economics,2,,,,
B.A. in French,2,,,,
B.A. International Relations,2,,,,
B.A. International Relations (Gl,2,,,,
B.A. Joint Honours,2,,,,
B.A. Journalism,2,,,,
B.A. Magna Cum Laude,2,,,,
"B.A. Magna Cum Laude, Phi Beta K",2,,,,
B.A. Mass Communications,2,,,,
B.A. Mass Communications/ Market,2,,,,
B.A. Phil.,2,,,,
B.A. Political Science and Telec,2,,,,
B.A. with honors,2,,,,
B.A. with Honors,2,,,,
B.A. With Honors,2,,,,
B.A. with honors in History,2,,,,
B.A. With Honours,2,,,,
B.A.(Honors),2,,,,
"B.A.,",2,,,,
"B.A., American Studies, History",2,,,,
"B.A., B.A.",2,,,,
"B.A., B.Ed., MSc. Ed.",3,,,,
"B.A., B.S.",2,,,,
"B.A., biological psychology",2,,,,
"B.A., Biology and Anthropology",2,,,,
"B.A., Business",2,,,,
"B.A., Chemistry",2,,,,
"B.A., Columbia College",2,,,,
"B.A., Economics",2,,,,
"B.A., English",2,,,,
"B.A., History",2,,,,
"B.A., History, Political Science",2,,,,
"B.A., LL.B (Hons.) graduate",4,,,,
"B.A., M.S.",3,,,,
"B.A., magna cum laude",2,,,,
"B.A., Magna Cum Laude",2,,,,
"B.A., Philosophy",2,,,,
"B.A., Political Science",2,,,,
"B.A., summa cum laude",2,,,,
"B.A., Summa Cum Laude",2,,,,
B.A./ L.L.B,4,,,,
B.A./M.A.,3,,,,
B.A.C.S.,2,,,,
B.A.E.,2,,,,
B.A.H,2,,,,
B.A.H.,2,,,,
B.A.HSG,2,,,,
B.A.I / B.A.,2,,,,
B.A.I.S.,2,,,,
B.A.LLB (Hons.),4,,,,
B.A.S Supervision and Management,2,,,,
B.A.S. summa cum laude,2,,,,
B.A.Sc.,2,,,,
B.A>,2,,,,
B.App.Sc (Mathematics),2,,,,
B.Arch,2,,,,
B.Arch.,2,,,,
B.Arts,2,,,,
B.B.A / B.A,2,,,,
"B.B.A with Honours, Finance",2,,,,
B.B.A.,2,,,,
B.B.A. and a M.B.A.,4,,,,
B.B.A. with honors,2,,,,
"B.B.A., Finance International Bu",2,,,,
B.B.S,2,,,,
B.B.S.,2,,,,
B.Bus,2,,,,
B.Bus (Marketing),2,,,,
B.Business,2,,,,
B.C.,2,,,,
B.C.A,2,,,,
B.C.E.,2,,,,
"B.C.L./L.L.B., Law",4,,,,
B.Cert.,2,,,,
B.Ch.E,2,,,,
B.Chem,2,,,,
B.Com,2,,,,
B.Com (Computers),2,,,,
B.Com (Hons),2,,,,
B.Com (Hons.),2,,,,
B.Com / GDA,2,,,,
B.Com Accounting,2,,,,
B.Com Accounting Hons,2,,,,
B.Com Honours,2,,,,
"B.Com, DCM",2,,,,
"B.Com/BMOS,",2,,,,
B.Comm,2,,,,
B.Comm and B.Ec,2,,,,
B.Comm General,2,,,,
B.Comm with honors,2,,,,
B.Comm. Marketing,2,,,,
B.Comm/B.A,2,,,,
B.Commerce,2,,,,
B.Comp,2,,,,
B.Compt,2,,,,
"B.Compt (Hons), CTA",2,,,,
"B.CS., Bachelor of Computer Scie",2,,,,
B.Des,2,,,,
B.Design,2,,,,
B.E,2,,,,
B.E - Bachelors,2,,,,
B.E ( IT),2,,,,
B.E (Hons),2,,,,
B.E (Hons.),2,,,,
B.E Computer Engg,2,,,,
B.E Computer Engineering,2,,,,
B.E in Computers,2,,,,
B.E(Bachelor in Engineering ),2,,,,
B.E(Hons),2,,,,
B.E(IT),2,,,,
B.E.,2,,,,
B.E. (Electronics),2,,,,
B.E. (Graduation),2,,,,
B.E. (hons),2,,,,
B.E. (Hons.),2,,,,
B.E. and M.Sc. Dual Degree,2,,,,
B.E.(Hons),2,,,,
B.E.(Hons.),2,,,,
"B.E., B.A",2,,,,
"B.E., Computers",2,,,,
"B.E., Electronics Engg.",2,,,,
B.E.Civil Engineering,2,,,,
B.E.D,2,,,,
B.E.E.,2,,,,
B.E.S.c,2,,,,
B.E.Sc,2,,,,
B.E/B/Tech,2,,,,
B.E/B-Tech,2,,,,
B.Econ,2,,,,
B.Econ.,2,,,,
B.Ed,2,,,,
B.ed,2,,,,
"B.Ed,",2,,,,
B.Ed.,2,,,,
B.ed.,2,,,,
B.Eng (Hons I),2,,,,
B.Eng (Hons) - 1st,2,,,,
B.Eng. (Honors),2,,,,
B.Eng. Minor in Business marketi,2,,,,
B.Eng/Mgmt,2,,,,
B.Engg,2,,,,
B.Engineering,2,,,,
B.G.S,2,,,,
B.G.S.,2,,,,
B.H.K.,2,,,,
B.I.E.,2,,,,
B.I.E.; Ph.D,5,,,,
B.I.S,2,,,,
B.ICT,2,,,,
B.J.,2,,,,
B.L,2,,,,
B.Litt,2,,,,
B.M.,2,,,,
B.M.S,2,,,,
B.Math,2,,,,
B.Math. in Honours Computer Scie,2,,,,
B.mus,2,,,,
B.Mus.,2,,,,
B.P.S.,2,,,,
B.Ph.,2,,,,
B.Pharm.,2,,,,
B.Pharma,2,,,,
B.Pharmacy,2,,,,
b.pharmacy,2,,,,
B.pharmacy(full time),2,,,,
B.Phil,2,,,,
B.Phil.,2,,,,
B.Phill,2,,,,
B.S,2,,,,
B.S & M.S,3,,,,
B.S (Hons),2,,,,
B.S Engineering,2,,,,
B.S Mass Communications,2,,,,
"B.S, Business and Finance",2,,,,
"B.S, M.S",3,,,,
B.S.,68,,,,
B.S. & A.B.,2,,,,
B.S. & B.A.,2,,,,
B.S. & M.A.,3,,,,
B.S. & M.Acc,3,,,,
B.S. & MBA,4,,,,
B.S. (Engineering),2,,,,
B.S. (High Honors),2,,,,
B.S. (Honors),2,,,,
B.S. (Hons),2,,,,
B.S. (inc),2,,,,
B.S. (with hons),2,,,,
"B.S. , M.S.",3,,,,
B.S. / B.A.,2,,,,
B.S. / EECS,2,,,,
B.S. / M.S,3,,,,
B.S. / M.S.,3,,,,
B.S. / M.S.E.,3,,,,
B.S. A.A.E.,2,,,,
B.S. Accounting,2,,,,
B.S. and B.A,2,,,,
B.S. and M.A.,3,,,,
B.S. and M.B.A.,4,,,,
B.S. Business,2,,,,
B.S. Business Administration,2,,,,
B.S. Business Administration (Fi,2,,,,
B.S. CIS,2,,,,
B.S. Commerce,2,,,,
B.S. Communications,2,,,,
B.S. Computer Engineering,2,,,,
B.S. Computer Information System,2,,,,
B.S. Computer Science,2,,,,
B.S. Computer Science and Engine,2,,,,
B.S. cum laude,2,,,,
B.S. degree,2,,,,
"B.S. Degree, Cum Laude",2,,,,
"B.S. Double Major, Electrical En",2,,,,
B.S. Econ,2,,,,
B.S. Economics,2,,,,
B.S. Electrical & Computer Engin,2,,,,
B.S. Electrical Engineering,2,,,,
B.S. Electronics & Telecommunica,2,,,,
B.S. Engineering,2,,,,
B.S. honors,2,,,,
B.S. Honours,2,,,,
B.S. in Business,2,,,,
B.S. in Business Administration,2,,,,
B.S. in business administration,2,,,,
B.S. in Computer Engineering,2,,,,
B.S. in Computer Science,2,,,,
B.S. in Economics,2,,,,
B.S. in Electrical Engineering,2,,,,
B.S. in Engineering,2,,,,
B.S. in Management (Honors),2,,,,
B.S. in mechanical engineering,2,,,,
B.S. in Neuroscience,2,,,,
B.S. in Pharmacy,2,,,,
"B.S. in Systems and Sciences, Co",2,,,,
B.S. International Political Eco,2,,,,
B.S. M.E.,2,,,,
B.S. M.S.,2,,,,
B.S. Management,2,,,,
B.S. Marketing,2,,,,
B.S. Mechanical Engineering,2,,,,
B.S. Physical Science,2,,,,
B.S. Physics,2,,,,
B.S. Psychology,2,,,,
B.S. summa cum laude,2,,,,
B.S. with Distinction,2,,,,
B.S. with Finance Applications &,2,,,,
B.S. with Honors,2,,,,
B.S. With Honors,2,,,,
B.S. with Honors and Distinction,2,,,,
B.S.(summa cum laude),2,,,,
"B.S., Accounting",2,,,,
"B.S., B.S., B.A.",2,,,,
"B.S., Business",2,,,,
"B.S., Business Administration",2,,,,
"B.S., Computer Science",2,,,,
"B.S., Computer Science & Electri",2,,,,
"B.S., Computer Science and Busin",2,,,,
"B.S., Economics Minor",2,,,,
"B.S., Electrical Engineering",2,,,,
"B.S., Engineering",2,,,,
"B.S., Engineering and Biology",2,,,,
"B.S., Finance",2,,,,
"B.S., Honors",2,,,,
"B.S., Industrial Engineering",2,,,,
"B.S., M.Eng",2,,,,
"B.S., M.Eng, Ph.D.",5,,,,
"B.S., M.Eng.",3,,,,
"B.S., M.S.",3,,,,
"B.S., M.S. and Ph.D",5,,,,
"B.S., M.S., and Ph.D.",5,,,,
"B.S., Management",2,,,,
"B.S., Management Science and Eng",2,,,,
B.S./ B.A.,2,,,,
B.S./B.A.,2,,,,
B.S./B.FA,2,,,,
B.S./M.S.,2,,,,
B.S./Minor,2,,,,
B.S.B.,2,,,,
B.S.B.A. Finance,2,,,,
B.S.B.A. Pending,2,,,,
B.S.B.S,2,,,,
"B.S.C. Photo-Journalism, Radio T",2,,,,
B.S.E,2,,,,
B.S.E.,2,,,,
B.S.E. (cum laude),2,,,,
B.S.E.E,2,,,,
"B.S.E.E., M.S.E.E. and Ph.D.",5,,,,
B.S.Ed.,2,,,,
B.S.Eng.,1,,,,
B.S.F.S,1,,,,
B.S.F.S.,2,,,,
B.S.L,2,,,,
B.S.M.,2,,,,
B.S.M.E,2,,,,
B.S.M.E.,2,,,,
B.S.S.V.E with distinction,2,,,,
B.S.W.,2,,,,
B.S; Awarded B.S,2,,,,
B.S>,2,,,,
B.Sc,2,,,,
B.Sc (Econ),2,,,,
B.Sc (Honours),2,,,,
B.Sc (summa cum laude),2,,,,
B.Sc and M.Sc,3,,,,
B.Sc and Masters Degree,3,,,,
B.Sc Applied Science,2,,,,
B.Sc Computer Science,2,,,,
B.Sc EE,2,,,,
B.Sc Enggenering,2,,,,
B.Sc in view,2,,,,
B.Sc Physics,2,,,,
"B.Sc, International program supp",2,,,,
B.Sc.,2,,,,
B.Sc. (Cum Laude),2,,,,
B.Sc. (Economics),2,,,,
B.Sc. (Honours),2,,,,
"B.Sc. (Hons), Chemistry",2,,,,
B.Sc. (Ma),2,,,,
B.Sc. 2:1,2,,,,
B.Sc. and M.Sc.,3,,,,
B.Sc. Computer Science,2,,,,
B.sc. Diploma of Engineer,2,,,,
B.Sc. Ec.,2,,,,
B.Sc. Honours,2,,,,
B.Sc. in Electrical Engineering,2,,,,
B.Sc. in Physics,2,,,,
B.Sc. Summa Cum Laude,2,,,,
B.Sc. with INSTRUMENTATION,2,,,,
B.Sc.(First Class Hons),2,,,,
B.Sc.(I.T.),2,,,,
"B.Sc., Business Administration &",2,,,,
"B.Sc., Economics",2,,,,
"B.Sc., Engineering",2,,,,
"B.Sc., M.Mgmnt",3,,,,
B.Sc.; M.Sc,3,,,,
B.Sc.E,2,,,,
B.Sc.E.E. (Hons.),2,,,,
B.Sc.IT,2,,,,
B.Sc.IT (Hons),2,,,,
B.Sc.T.E,2,,,,
B.Sc/Electronics,2,,,,
B.Sci.,2,,,,
B.Soc.Sc,1,,,,
B.Soc.Sci,2,,,,
B.Stat,2,,,,
B.Tech,2,,,,
B.tech,2,,,,
B.Tech (Hons),2,,,,
B.Tech (Hons.),2,,,,
B.Tech (IT),2,,,,
B.Tech degree,2,,,,
B.Tech Full Time,2,,,,
B.TECH(I.T),2,,,,
"B.Tech, Computer science",2,,,,
"B.Tech, Electrical Engineering",2,,,,
"B.Tech, Mechanical Engineering",2,,,,
B.Tech.,2,,,,
B.Tech. (Honors),2,,,,
B.Tech. (Hons.),2,,,,
B/A,2,,,,
B/TEC,2,,,,
BA,2,,,,
BA - 1st class,2,,,,
BA - Bachelor of Arts,2,,,,
BA - Business Management,2,,,,
BA - Economics,2,,,,
BA - Honors,2,,,,
BA  Professional Photography - A,1,,,,
BA - Specialist in Management,2,,,,
BA & BS,2,,,,
BA & CPA,3,,,,
BA & MA,3,,,,
BA & MBA,3,,,,
BA (2:1),2,,,,
BA (Comp Sci.) Hons.,2,,,,
BA (Cum Laude),2,,,,
BA (dual major),2,,,,
BA (Econ),2,,,,
BA (Exchange),2,,,,
BA (Honors and Phi Beta Kappa),2,,,,
BA (Honors),2,,,,
BA (honors),2,,,,
BA (honors) degree and a Master ,2,,,,
"BA (Honours), Economics",2,,,,
BA (Hons),2,,,,
BA (Hons)  (Upper Second Class),2,,,,
BA (hons) - 1st class,2,,,,
BA (Hons) 2:1,2,,,,
BA (Hons) â First Class,2,,,,
BA (Hons) Business Administratio,2,,,,
BA (Hons) Diploma,2,,,,
"BA (Hons) First Class, Economics",2,,,,
BA (Hons) In-Company Degree,2,,,,
BA (Hons) International Business,2,,,,
BA (Hons) of Business Administra,2,,,,
BA (Hons.) Cantab,2,,,,
BA (magna cum laude & Phi Beta K,2,,,,
BA (Mod),2,,,,
BA (mod.),2,,,,
BA (na),2,,,,
BA (Psychology),2,,,,
"BA , MBA",4,,,,
BA / BA (Hons),2,,,,
BA / BS / MS,2,,,,
BA / Honors,2,,,,
